Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist,$112K-$133K (Glassdoor est.),"About Us:

Located in Allen, TX Cytracom is the leading SaaS provider of business voice services delivered through the IT channel and our mission is to make business communications simple!

As for the culture, we love going to work and think you should too! The team holds our company culture near and dear as it represents an intermix between passion for leadership and passion for an active, healthy life centered around family and friends. Cytracom represents community, collaboration, camaraderie and we are DOUBLING in size this year! It's a very exciting time here at Cytracom and we are focused on finding the best talent as we continue to grow!

Our Benefits:

• Medical, dental, and vision insurance is available
• 401K
• Disability insurance
• Paid vacations and holidays
• Flexible PTO policy
• Casual, laid-back work environment
• Free snacks

Here's a closer look at this key role:

The Data Scientist will use data-based insights to conceptualize, plan, and develop solutions to solve complex problems. In this role, you will be responsible for discovering information and identifying patterns within vast amounts of data and using that data to help our teams make smarter decisions. Your primary focus will be in applying data mining techniques, data visualization, doing statistical analysis, and building high-quality prediction systems.

Requirements:
2+ years of recent experience working as a data scientist.
Expertise in SQL (including but not limited to transforming data) and proficiency in another data programming language (Python, R, etc.)
Experience in creating experiments and analyzing results that drive key decisions
Proficiency in one or more analytics & visualization tools (e.g., Looker, Tableau, etc.)
Strong interpersonal skills and the ability to tailor communication such as analyses and interpretations to match the audience
We prefer someone who currently lives in the DFW metroplex
Responsibilities:
Maintain solid working relationships with all stakeholders, primarily the Executive Team.
Work with business experts to better understand goals and identify alternative approaches to extract insights from data.
Drive adoption of BI platform across organization
Present ideas/analyses/interpretations in a clear, concise manner tailored to audience
Maintain integrity, organization and consistency of data by coordinating with system administration to ensure accurate data input or collection and by managing ETL processes",5.0,"Cytracom
5.0","Allen, TX","Allen, TX",1 to 50 employees,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"RingCentral, Nextiva, 8x8"
Data Scientist,$112K-$133K (Glassdoor est.),"Entefy’s Senior Data Scientist is a highly visible position both internally and externally. Join the intelligence revolution, where we can push the state-of-the-art boundaries of data science. This is where deep experience and multi-dimensional insights intersect with an amazing opportunity to shape the future of productivity for people everywhere.

Skills and Experience:

We’re not looking for “good.” Entefy is on a mission to find exceptional talent. The success of our mission depends on our team’s ability to be creatively analytical, insatiably curious, and absolutely fearless in tackling big challenges.
Requirements
Master's degree in Computer Science, Mathematics, Statistics, Engineering, or a compatible field. PhD is preferred.
3+ years of applicable work experience.
Demonstrable proficiency in Python, Scala, SQL, or R.
Strong data visualization and reporting skills.
Proven track record delivering high-value, advanced analytics.
Experience leading the work of other data scientists or analysts is preferred.
World-class ability to extract and communicate insights from real-world datasets.
Startup agility and versatility.
Visit www.entefy.com and www.blog.entefy.com.",4.3,"Entefy
4.3","Palo Alto, CA","Palo Alto, CA",1 to 50 employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
Data & Analytics Consultant,$112K-$133K (Glassdoor est.),"WHO WE LOOK FOR

An SEI Consultant is a master communicator and active listener who understands how to navigate an audience. Self-aware, almost to a fault, SEI consultants keenly understand how to adjust their approach based on the situation. Following a logical, fact-based approach, our consultants possess the superior ability to see correlations others may not, ask the right questions and drive solutions.

As super-connectors, our consultants connect not only people, but data, trends and experiences. Mature, humble, and genuine, SEI Consultants frequently go above and beyond for both their clients and their colleagues. SEI Consultants are ethical and trustworthy individuals who do what they say. SEI Consultants have an insatiable curiosity and love to learn. These individuals are commonly tech savvy and early adopters. Their passion for learning is infectious and excites others.

As every project is different, an SEI Consultant must be adaptable and comfortable with unexpected situations. An SEI Consultant must be at ease with ambiguity because although a client knows that a problem exists – they need SEI to figure it out and drive a solution. SEI Consultants define ambition differently. SEI Consultants are authentic, low-maintenance individuals who like to hang out with colleagues outside of work. Whether it be cooking, traveling, hiking, or volunteering, SEI Consultants enjoy working with genuine, thoughtful folks who want to steer clear of the traditional grind and share the joy of day-to-day life and activities with colleagues, friends and family.

WHAT WE DO

Our consultants work with clients at all levels of the organization, from the C-suite to the shop floor, helping them to deliver on their most strategic initiatives. We’re known for making realistic, data-driven decisions that deliver value in tangible ways to our clients. Our clients ask for us on projects that require a superior combination of technical and business capabilities, people and management skills, and a collaborative mindset. We excel in understanding complex programs and strategic initiatives and breaking them into actionable pieces.

We are actively looking for professionals in the following areas:
Data Strategy and Governance
Database Architecture and Development
Data Analysis
Reporting and Data Visualization
The ideal candidate will:
Have experience understanding and solving real business problems
Solid writing and speaking skills to support data storytelling
Ideal candidates may call themselves Data Engineers, Data Scientists and Analysts and Data Governance professionals. Experience may include but is not limited to the following:
Experience with statistical and mathematical modeling, artificial intelligence and machine learning software and methods
Specialization in architecting enterprise solutions with visualizations and data-discovery tools such as Tableau, QlikView, Spotfire, Amazon Web Services, Cloud, Salesforce
Technical capabilities that include designing scalable data architectures, solution performance tuning, and hardware sizing
Experience and knowledge of programming and scripting languages, such as , Python, Java, C#, PL/SQL, R and SAS
Experience and knowledge of relational and dimensional database structures, theories, principles, and practice used in data warehousing and analytics solutions
Experience managing, populating, and querying database technologies including RDBMS, NOSQL, and big data platforms and experience working with these technologies' ecosystems
QUALIFICATIONS

Required
Demonstrated business and technology acumen
Proven track record of delivering results
Experience working with and/or leading a team
Ability to work independently
Ability to work across industries, roles, functions & technologies
Positive can-do attitude
A curiosity for new technology
Authorization for permanent employment in the United States (this position is not eligible for immigration sponsorship)
Preferred
Bachelor’s degree (Mathematics, Computer Science, or related field preferred)
8+ years professional experience
Consulting experience
Experience across our service offerings",4.6,"SEI
4.6","Atlanta, GA","Cincinnati, OH",201 to 500 employees,1992,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1
Data Analyst,$112K-$133K (Glassdoor est.),"Our data operations team is the pharmacy support system for our customers - we help them transition to divvyDOSE, manage their prescriptions, answer their questions, and coordinate care with their health team. This work is coordinated across pharmacists, technicians, and customer support staff to ensure we provide the best care for our customers. Among other things, we transfer prescriptions to and from other pharmacies, contact medical care providers to understand treatments and request prescription refills and answer inbound questions from our customers.

You will:


Your goal is to help the operation run more effectively and efficiently through data analysis, reporting, dash-boarding, and special projects. You will help us build context through better reporting and drive the business forward by providing data-driven recommendations on ways to improve efficiency and optimize our operation. On any given day you might be presenting to our executive team, doing a deep dive on call analytics, or working with a small team to prototype and test new processes.
Become an expert and go-to resource for our process flows and our operational data
Work with operations management to develop actionable operations performance dashboards across all areas of the organization
Perform ad-hoc data analysis to identify measurable improvements to our operation, and advocate for those improvements via presentations and reports
Maintain and improve operations forecasting models
Collaborate with Finance and Technology teams to ensure we are able to continue to effectively measure our operation as technology improves
Communicate effectively and efficiently across multiple teams and work groups
Requirements
You have strong analytical and problem-solving skills
You are used to tackling very loosely defined problems and still deliver high-quality output
Advanced proficiency in Excel, PowerPoint, and strong written and oral communication
Ability to adapt quickly to a changing environment
3-5 years of analyst experience
Bachelor's degree, with major in analytical or technical field strongly preferred
Experience with BI tools such as Looker or Tableau is a plus
Job Title: Data Analyst

Job Type: Full-time

FLSA Status: Exempt

Benefits

In addition to competitive salary and a unique opportunity to thrive at a growing company, divvyDOSE offers various formal benefits as well.

INSURANCE, PAID TIME OFF, & RETIREMENT

Full-time employees receive Sick days, Vacation days, and Holiday Bonuses as well as employer-paid Medical (including a Health Savings Account with an employer contribution), Dental, Vision, and Life insurance. In addition, we're proud to offer Voluntary Life & AD&D, Short Term Disability, and Long Term Disability coverage. A 401k plan with employer contribution is available, too.

SOCIAL EVENTS

In our company description, you can tell the divvyTEAM likes to have fun. Regular potlucks, company events, pizza days, wellness challenges, and divvyNEWS You Can Use updates maintain our work-hard play-hard culture.

divvyDOSE provides equal employment opportunity to all qualified applicants regardless of race, color, religion, national origin, sex, sexual orientation, gender identity, age, disability, genetic information, or veteran status, or other legally protected classification in the state in which a person is seeking employment. Applicants encouraged to confidentially self-identify when applying. Local applicants encouraged to apply. Drug-free work environment. Must be eligible to work in the United States.

Apply for this job",3.4,"divvyDOSE
3.4","Moline, IL","Moline, IL",201 to 500 employees,2015,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
Data Analyst,$112K-$133K (Glassdoor est.),"Breckenridge Grand Vacations (BGV) is seeking qualified analysts who will help grow our highly cross-functional analytics department. The Data Analyst is responsible for quantitative& qualitative analysis, reporting, and data mining across all of BGV’s finance, marketing, operations, and sales divisions. At its highest level, this position identifies the business’ analytical needs, collaborates with the analytics team& business intelligence, develops thoughtful analyses, and effectively communicates findings and recommendations to key decision makers including executive leadership. BGV Analysts are highly detail oriented, proactive self-starters, team players, capable of multi-tasking, and can analyze large amounts of data with creativity and innovation in mind. Please visit www.BGVjobs.com to apply!

Data Analyst Essential Duties and Responsibilities(including but not limited to):
Understand and facilitate the integration of various business processes, people, software, data, and relevant technology to identify, configure, and communicate meaningful information that supports and drives decision making across all divisions of the company.
Leverage Tableau, MS Excel, and other BI tools for analysis, reporting, data visualization, self-service support, across disparate systems. Analysts must stay abreast of changes and improvements within the software to maximize value.
Provide pertinent information to BGV managers and executives by assembling and summarizing data, developing thorough analyses, preparing reports, identifying business solutions, making presentations of findings, and recommending courses of action.
Build and maintain analytical models, dashboards, reports, and templates to drive awareness and understanding of key performance indicators while ensuring quality, accuracy, and a focused analytic review.
Utilize data analysis skills to perform full lifecycle analytics including gathering requirements, design and development of analytic data sets, data mining, data quality assessment, data profiling, analytical infrastructure maintenance, and predictive analytics support.
Convert business expectations into data analysis while recognizing the audience and effectively communicating complexities at an executive level.
Analytics Team Cross-Functional Focuses(including but not limited to):

Financial Analysis and Reporting:
Pro forma financial statements; revenue/expense budget development and variance tracking; profit/cost efficiencies; resort financing& hypothecation; accounts receivable management; tax reporting; prospective resort development
Marketing Analysis and Reporting:
Campaign strategy and segmentation; program, CRM, website, lead generation, and call center performance; property tour conversion; tour budgeting; tour show-rate tracking; no show predictions; product affinity; customer list building& targeting
Operations Analysis and Reporting:
Resort occupancy, owner usage, exchange usage, rental inventory and revenue management, average daily rates, guest outreach, owner support, reservation& contact center, vacation rentals, resort operations department performance, guest surveys
Sales Analysis and Reporting:
Sales volume forecasting; inventory control; pricing& commission management; agent performance; tour prospect ranking; tour scheduling enhancements; Volume Per Guest (VPG) budgeting; sales management and administrative initiatives
Required Experience:
2– 5 years of related professional experience developing analytics and working with data in an organization
Bachelor’s degree in Analytics, Finance, Economics, Marketing, Mathematics, Statistics, Real Estate or other related field
MBA/Masters, concentrations, certifications, or specializations in related field a plus
Qualifications:
Advanced abilities in Tableau and MS Excel (other data visualization and BI tools ok but Tableau is preferred)
Experience and knowledge of various statistical programming languages (Python, R, MATLAB)
Proficiency in reading and writing code/queries in SQL and Visual Basic (VBA)
Must be highly detail oriented with strong organizational skills and can multi-task
Possesses excellent interpersonal skills, is a team player, and is an enthusiastic learner& self-starter
Motivated by growth opportunities, looking for the ability to make an impact, appreciates work-life balance, and has an entrepreneurial spirit
Benefit Summary:
Robust Medical, dental, and vision insurance plans and employer match 401(k) plan
Paid holiday time-off and paid volunteer time-off
Recreation and ski pass programs
Tickets to Rockies, Avalanche and Nuggets games, Pepsi Center concerts and events
Discounts on lodging, retail, restaurants, and activities
Employee housing(subject to availability)
About Breckenridge Grand Vacations:

BGV was formed in 1984, serving as the developer, owner, and operator of four Breckenridge Resorts: Gold Point Resort, Grand Timber Lodge, the Grand Lodge on Peak 7 and our newest resort, the Grand Colorado on Peak 8. Winner of the ACE Philanthropic Award in 2016 from the American Resort Development Association (ARDA), Denver Post’s 2018 Top Large Workplace: 1st Place, and winner of the ACE Project of Excellence (Grand Colorado on Peak 8) in 2020 from the American Resort Development Association (ARDA) as the best resort in the world for the year. Breckenridge Grand Vacations is widely recognized as one of the most successful independent developers in the industry.

Here at Breckenridge Grand Vacations, we pride ourselves on always creating Grand vacations for families and friends alike. Our purpose statement sets the stage for impacting the lives not only of our owners and guests, but our employees and our community:The Soul of BGV is creating smiles!",4.6,"Breckenridge Grand Vacations
4.6","Breckenridge, CO","Breckenridge, CO",501 to 1000 employees,1984,Company - Private,"Hotels, Motels, & Resorts",Travel & Tourism,$10 to $25 million (USD),-1
Data Scientist,$112K-$133K (Glassdoor est.),"Why We Work at Dun & Bradstreet


We are at a transformational moment in our company journey - and we’re so excited about it. Each day, we are finding new ways to strengthen our award-winning culture, and to accelerate creativity, innovation and growth. Our purpose is to help customers improve business performance with Dun & Bradstreet’s Data Cloud and Live Business Identity, and we’re wildly passionate and committed to this purpose. So, if you’re looking to make an immediate impact at a company that welcomes bold and diverse thinking, come join us!



As a Data Scientist, you will develop novel solutions to market-driven problems using knowledge of the latest ML techniques, rigorous statistical analysis, and practical experience on previous data science projects. You will collaborate with internal and external stakeholders (external customers, other D&B data scientists, sales team members, business unit product leaders, development teams, and global partners) to understand business needs and technical requirements.

You will also:
Serve as a Subject Matter Expert on internal D&B data, and estimation of business size.
Participate and support other teams as needed for all aspects of model development, including design, model implementation, validation, calibration, documentation, product implementation, monitoring, and reporting
Research complex business issues and recommend solutions, including customer data input requirements, other required data sets, modeling approaches, and end products
Basic Qualifications:
Masters in a quantitative / applied field (Engineering, Computer Science, Operations Research, Mathematics, Data Science, Economics, Statistics).
2+ years of experience in data science roles.
Strong knowledge of programming and modeling using Python, R, or SAS.
Strong SQL skills and experience working with large data sets.
Experience working collaboratively, including building and maintaining relationships with internal and external stakeholders/clients.
Experience advising a team on innovative methodologies, data science tools, and environments.
Experience communicating complex ideas to both a technical and non-technical audience.
Experience applying modern machine learning techniques.
Preferred Qualities
Creative and inquisitive in nature, flexibility to learn and apply new methodologies.
Strong writing skills.
Dun & Bradstreet is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, age, national origin, citizenship status, disability status, sexual orientation, gender identity or expression, pregnancy, genetic information, protected military and veteran status, ancestry, marital status, medical condition (cancer and genetic characteristics) or any other characteristic protected by law.

We are committed to Equal Employment Opportunity and providing reasonable accommodations to applicants with physical and/or mental disabilities. If you are interested in applying for employment with Dun & Bradstreet and need special assistance or an accommodation to use our website or to apply for a position, please send an e-mail with your request to TalentAcquisitionTeam@dnb.com. Determination on requests for reasonable accommodation are made on a case-by-case basis.

Please note that all Dun & Bradstreet job postings can be found at https://dnb.wd1.myworkdayjobs.com/Careers and all communication from Dun & Bradstreet will come from an email address ending in @dnb.com.",3.0,"Dun & Bradstreet
3.0","Austin, TX","Short Hills, NJ",1001 to 5000 employees,1841,Company - Public,IT Services,Information Technology,$1 to $2 billion (USD),"Experian, Equifax"
Data Scientist,$112K-$133K (Glassdoor est.),"We're searching for Enterprise and R&D data scientists to drive advanced analytics, AI and Machine learning to support multiple use cases a covering but not limited to language/image processing,machine learning analytics, deep learning analytics etc. for use cases in drug research, commercial operations, manufacturing systems, supply chain planning, logistics, infrastructure processes etc.

The successful Data Scientist will translate business needs into analytic questions; conduct data exploration leveraging data from disparate data stores (including data lakes, traditional relational and non-relational data); develop model specification; design and perform rigorous analyses of operational, customer, and financial data; and translate these analytic findings into leading information for our business partners.

This position would act as an advisor to executive and management level decision makers. This individual would provide ‘end-to-end’ guidance on deployment of machine learning models including data governance and industry best practices with a lens towards agility and efficiency, leveraging a) data science and statistical methods, b) programming languages such as R, python, Spark, SAS, c) libraries such as TensorFlow, Pytorch etc. d) technology capabilities such as containers and orchestration (Docker, Kubernetes) in on-prem, cloud and hybrid infrastructures.

Responsibilities
Consult with internal and external stakeholders to determine how best to apply descriptive analysis and/or statistical learning to support business objectives
Demonstrate a thorough understanding of concepts related to statistical methods, language and image processing and operations research and how to use them for solving real world problems.
Apply linear models, machine learning algorithms, times series forecasting, and modern optimization methods (i.e. metaheuristics) to understand and/or predict events impacting various business operations.
Understand the guidelines needed to build credible and efficient simulation models used to inform the decision-making process.
Collaborate with subject matter experts and data engineers to deploy advanced analytic solutions into the operational environments.
Adhere to agile project management frameworks and set the direction of data science initiatives

Qualifications
Masters or Bachelors in quantitative discipline (e.g. applied math, operation research, computer science, etc.) PHD and at least 4 years experience.
Lifesciences, healthcare analytics background preferred.
Practical experience with times series forecasting, monte carlo analysis, spatial analysis, and/or machine learning (random forest, neural nets, SVM, etc.)
Familiarity and use with public datasets such as Clinicaltrials.gov, imagenet, COCO etc.
Familiarity with Machine Learning solution offerings/operationalize from cloud providers such as AWS (ex. Sagemaker), Azure, GCP.
Familiarity with the concepts of container-based machine learning models, automation and operations.
Familiarity with language models (SpaCy, NLTK, Stanford NLP) and using them to operationalize and enhance chatbot user experience.
Familiarity with navigating in both a relational (Teradata-based) and non-relational (Hadoop) environment. SQL skillset is strongly desired. Knowledge of Java/Scala/Apache Spark is a bonus
Proficiency in R/Python; familiarity with libraries such as Tensorflow, café, Pytorch etc.
Practiced in exploratory data analysis (EDA) and manipulating large data sets
Capable of accessing external data sources through various APIs (e.g. google distance matrix, quandl financial data, etc.)
Strong and effective storytelling skills
If you are selected for these opportunities, you will be employed by, or contracted to, some of the world's foremost life sciences companies.

To find out more, please send a Word copy of your resume to virginia@brilliantleap.com. At this time we can accept only individuals who are legally authorized to work in the United States without sponsorship.

PLEASE NOTE: These jobs are not suited for recent graduates. It's better that you save your efforts now and apply for those kinds of jobs when they are available. Otherwise you may be accidentally filed in our system as someone we are not interested in. We know you are brilliant, but wait for the right opportunity.",-1,Brilliant Leap,"Paramus, NJ",-1,Unknown,-1,Unknown,-1,-1,Unknown / Non-Applicable,-1
Data Scientist,$112K-$133K (Glassdoor est.),"Data Scientist
Organization | GetUsPPE
Reports To | Director, Product + Technology
Location | Remote
Add’l Focus | Data Visualization, Predictive Analysis
Job Overview: GetUsPPE seeks a lead data scientist to direct and oversee the data science division of the technology team to better understand the real time supply and demand data within the GetUsPPE database. The ideal candidate will be self-directed and eager to work with our dynamic team to support our core operations towards fast-paced and nimble crisis response.
About Us: GetUsPPE is a national non-profit dedicated to providing donated PPE to frontline healthcare workers. We were founded by a group of physicians in March 2020, and quickly merged with an amalgam of other grassroots groups (including software developers, regional distribution affiliates, makers, and medical students). We have developed the country’s largest database of healthcare demand for donated PPE. Our technological solutions include a linear- programming- based matching algorithm, a website that allows for gathering of needs data and supplies available, a fairness framework to ensure equitable distribution of PPE, and a Just in Time allocation system that allows for existing supply to fill high demands throughout the country. Delivery of donations occurs through a distributed grassroots network as well as through partnerships with corporate entities. We partner with 47 regional affiliates and 26 other organizations, including ProjectN95, a non-profit organization that provides reliable and transparent purchasing of PPE for healthcare organizations, and Nation of Makers, a non-profit dedicated to supporting maker spaces and makers across the country. GetUsPPE is also a founding member of the C19 Coalition.
About the Role: The purpose of the data scientist is to:
Build the infrastructure for a real time visualization API
Interact with GetUsPPE demand data to determine areas of high need
Understand factors that predict highest need based on existing needs data linked with external available data such as covid case incidence and facility type.
Manage a team of data science volunteers
Collaborate with supply-demand match team to generate recipient lists
Participate in improving our technology infrastructure from the perspective of data and analytics
Duties and Responsibilities:
Descriptive analysis of GetUsPPE data sets using programming solutions (Python experience required)
Visualization + hot spot analysis, using ArcGIS, Mapbox, or other geospatial analysis tools
Track your own work using the methods in place by the supply-demand matching team and the technology team, including Jira for internal project management, Git for version control, and proprietary software
Stay up-to-date with the work of the database team, predictive data team, data integrity team to ensure internal data validity
Work with the healthcare outreach team to ensure representative sampling within our database
Work with our data to generate real time visualizations to support PR / media + donor requests for data, work with potential research partners to give limited API access, or other follow-up in accordance with GetUsPPE data sharing policies
Collaborate with other teams for process improvement, logistics management, and volunteer logistics fulfillment
Coordinate with the partnerships team to use data to inform government, non-profit, and economic partners on reopening policies and the interface with PPE availability
Periodic reports to the executive board on the status of PPE nationwide and organizational impact
Qualifications:
Bachelor's degree; data science or related experience
Completed degree(s) from an accredited institution that are above the minimum education requirement may be substituted for experience on a year for year basis
Knowledge, Skills, and Abilities Required:
Strong interpersonal and communication skills
Excellent interpersonal skills and the ability to explain complex concepts to colleagues and leaders from all backgrounds
Development, planning, and implementation of short- and long-range goals
Technical skills for data & analytics, visualization and predictive modeling (Python, OOP techniques)
Desire to build + lead a team (5+ team members) of skilled volunteers looking to make a difference in COVID-19 response
Familiarity with preparing data for media requests + public distribution
Experience using BigQuery, data warehouses, and relational DBs (PostgreSQL)
Experience with data visualization tools, such as D3.js, GGplot, etc.
Experience working with uncleaned data and defining processes to improve data quality
Manage confidential information
Minimum 3 years of data science, analytics or engineering work experience
Minimum 1 year of management experience
Working Conditions and Physical Effort:
No or very limited physical effort required.
No or very limited exposure to physical risk.
Work is normally performed online from home.
Compensation:
$75,000 - $90,000 depending on experience.
This is a full time position. The organization is virtual and widely distributed and therefore, candidates can be located anywhere in the United States. For more information about GetUsPPE, please visit https://GetUsPPE.org/.
GetUsPPE is an equal opportunity employer and welcomes a diverse pool of candidates in this search. To express interest, please send a cover letter and resume to Emily Lynn at emily@getusppe.org.
Key Performance Indicators and Benchmarks:
Reduce response time for media + donor data requests to (<3h><24h><48h>
Participate in weekly check-ins with Director, Product + Technology
Assist Director in overseeing the Data Team, holding weekly Data Team meetings and serving as the primary manager for Data Team Members",-1,GetUsPPE.org,Remote,"Williamstown, MA",51 to 200 employees,-1,Nonprofit Organization,-1,-1,Unknown / Non-Applicable,-1
Market Data Analyst,$112K-$133K (Glassdoor est.),"A bit about us:

We’re on a mission to change healthcare — how it’s paid for, delivered, experienced. We want to put people center stage, not process or profit. We are guided by a deep belief that every person on Medicare should be treated like we would treat a member of our own family: with loving care and a profound commitment to their health and well-being.

That’s why we’re gathering a whole bunch of smart, big-hearted people to create a new kind of healthcare company — one that combines compassion, health insurance, clinical care, and technology seamlessly.

We want to throw the long ball with people we love for a cause we believe in. Life is short. Join us.


A bit about this role:

This newly created role will be responsible for data analysis to support the market provider performance teams across all markets. The candidate will need to have experience with Risk Medicare Advantage (MA) financials, understand contract parameters, and be able to dive deep into claims research. This position will work closely with the market team (sales & network) and tech/data team to drive insights. This role will report to our Lead Market President and will be an integral part of our go to market team.
Responsibilities will include:
Produce monthly risk provider (one for each) reporting package for network team to review and deliver
Participate in Joint Operating Committees and other provider meetings
Act as point person to take lead on reconciling provider data mismatches (provider claims we are wrong)
Deep dive into suspect (incorrectly paid) claims affecting risk providers such as Incentive Care/Gessler Baycare high cost claims
Deep dive into troubled risk providers’ financials to identify areas of improvement
Attributes to success:
You are a Doer. You love being hands-on; getting into the weeds, doing the research, and utilizing best practices to improve processes
You are collaborative, driven, resourceful, and you enjoy working at the intersection of Finance and Technology
You possess excellent communication skills, including ability to clearly articulate needs, objectives, priorities, and strategy
You are skilled at interpreting and distilling information from one source, and translating that information into sensical terms for another source
You have a passion for improving U.S. healthcare, and a desire to continue to build your knowledge base within the vertical
Desired skills and experience:
7+ years’ experience, with 5+ years in a payor-based analytical role
Ability to navigate ambiguity, and work within a fast-paced startup environment
You have experience in risk, provider financials, and insurance
You have deep knowledge of Medicare Advantage and Medicare HMO
You have a track record of success collaborating with Tech partners
Experience with SQL (basic skills)
If you love running towards complex challenges and transforming them into solutions, if you want to make a potentially huge impact on many lives, and if you are looking for a disruptive startup with an inspiring and talented team, Devoted Health may be the place for you!

Devoted is an equal opportunity employer. We are committed to a safe and supportive work environment in which all employees have the opportunity to participate and contribute to the success of the business. We value diversity and collaboration. Individuals are respected for their skills, experience, and unique perspectives. This commitment is embodied in Devoted’s Code of Conduct, our company values and the way we do business.

As an Equal Opportunity Employer, the Company does not discriminate on the basis of race, color, religion, sex, pregnancy status, marital status, national origin, disability, age, sexual orientation, veteran status, genetic information, gender identity, gender expression, or any other factor prohibited by law. Our management team is dedicated to this policy with respect to recruitment, hiring, placement, promotion, transfer, training, compensation, benefits, employee activities and general treatment during employment.",4.3,"Devoted Health
4.3","Houston, TX","Waltham, MA",201 to 500 employees,2017,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
"Data Scientist (Palo Alto, CA or Remote US)",$112K-$133K (Glassdoor est.),"The Opportunity

Eversight is the recognized leader in AI-powered price and promotions. Eversight's proprietary cloud-based SaaS solution brings AI and continuous experimentation to consumer brands and retailers. Our software acts as a coach, enabling market leaders to transform pricing and promotion strategy for the $3.4 trillion spent in consumer goods retail using intelligent, real-time data and insights.

Reporting directly to the Head of Data Science, you will be at the center of what determines Eversight's success as a company. You will analyze the data and develop production code using the newest Data Science and Machine Learning techniques to determine the optimal prices and promotions for major product manufacturers and retailers that sell these products.

Responsibilities
Research, implement and modify modern Data Science techniques. More specifically:
Build Statistical and Machine Learning models that describe the impact of prices and promotions on shopper behavior, including behavioral pricing effects. You'll need to find middle ground between using flexible modern AI methods and proven classical methods.
Develop Optimization and Experiment Design systems, which determine the best prices to set for each product in each store each week. Finding a good balance on the exploration-exploitation tradeoff will be important.
Design and run pricing experiments across hundreds of stores and tens of thousands of products
Create model validation methods to make sure that our models are accurate and to quantify the impact of our solutions on the clients' bottom line
Work with Product Management to generate ideas and quickly turn them into efficient, well-tested, functioning code (we mostly use Python)
Partner with the Engineering team to create highly scalable solutions
Serve as Data Science expert both within Eversight and for our clients
Lead custom analyses and connect them to actionable Business and Product insights
Help prioritize new feature development by assessing potential impact
Be a go-to resource for science-related questions about the product
Behavioral Profile
Analytical, framework thinker
Comfortable in a fast-paced environment
Highly collaborative
Strong at translating Data Science concepts to non-technical audiences
Business focused; measures work in its contributions to business outcomes and prioritizes effort against deliverables accordingly
Skills and Experience
2+ years of relevant experience in Data Science and/or Machine Learning with direct impact on business value
B.S., M.S., or PhD in Statistics, Mathematics, Operations Research, Machine Learning, Engineering, Economics, Computer Science or relevant quantitative field
Ability to write efficient code in Python
Extremely strong in math and statistics: Linear Algebra, Hypothesis Testing, Bayesian Methods, Regressions, Calculus, Maximum Likelihood Estimation
Experience in Machine Learning methods: Neural Networks (Deep Learning, Embeddings, Sequence Modeling, CNN), Tree-based methods (GBDT, Random Forest), Regressions (Linear, GLM), Regularization Methods (L1/L2 penalties, Feature Selection, Dimensionality Reduction)
Experience in A/B testing and Design of Experiments preferred
Agile experience preferred
Demand Modeling, Pricing, and Causal Inference experience preferred but optional


Location

Palo Alto, CA

About the Company

Eversight is the recognized leader in AI-powered pricing and promotions. Global brands and retailers rely on the Eversight platform to optimize pricing in response to market conditions and to deliver higher ROI on promotional spend. Eversight's Pricing Suite and Offer Innovation Suite solutions are driving strong margin and sales volume improvements for leading companies such as Coca-Cola, General Mills, Raley's, and Rite Aid. Founded in 2013, Eversight is headquartered in Palo Alto, California, with offices in Chicago and New York.",4.2,"Eversight
4.2",Remote,"Palo Alto, CA",51 to 200 employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),-1
